"year","month","scenario","measure","x","y","value"
2030,"aug","A1B","baseflow",-121.25,48.75,74.6423034667969
2030,"aug","A1B","baseflow",-120.75,48.75,7.04949998855591
2030,"aug","A1B","baseflow",-120.25,48.75,3.77476000785828
2030,"aug","A1B","baseflow",-119.75,48.75,0.60436999797821
2030,"aug","A1B","baseflow",-119.25,48.75,0.00136999995447695
2030,"aug","A1B","baseflow",-118.75,48.75,1.58816003799438
2030,"aug","A1B","baseflow",-118.25,48.75,2.03165006637573
2030,"aug","A1B","baseflow",-117.75,48.75,2.33648991584778
2030,"aug","A1B","baseflow",-117.25,48.75,0.623539984226227
2030,"aug","A1B","baseflow",-122.25,48.25,1.27129995822906
2030,"aug","A1B","baseflow",-121.75,48.25,18.2772006988525
2030,"aug","A1B","baseflow",-121.25,48.25,67.6502990722656
2030,"aug","A1B","baseflow",-120.75,48.25,7.26183986663818
2030,"aug","A1B","baseflow",-120.25,48.25,1.62952995300293
2030,"aug","A1B","baseflow",-119.75,48.25,0.0410900004208088
2030,"aug","A1B","baseflow",-119.25,48.25,0.046339999884367
2030,"aug","A1B","baseflow",-118.75,48.25,0.045049998909235
2030,"aug","A1B","baseflow",-118.25,48.25,0.263960003852844
2030,"aug","A1B","baseflow",-117.75,48.25,0.328240007162094
2030,"aug","A1B","baseflow",-117.25,48.25,0.480940014123917
2030,"aug","A1B","baseflow",-124.25,47.75,9.25644016265869
2030,"aug","A1B","baseflow",-123.75,47.75,49.7610015869141
2030,"aug","A1B","baseflow",-123.25,47.75,27.6093006134033
2030,"aug","A1B","baseflow",-122.25,47.75,0.601629972457886
2030,"aug","A1B","baseflow",-121.75,47.75,14.3788995742798
2030,"aug","A1B","baseflow",-121.25,47.75,87.0148010253906
2030,"aug","A1B","baseflow",-120.75,47.75,1.872230052948
2030,"aug","A1B","baseflow",-120.25,47.75,0.536239981651306
2030,"aug","A1B","baseflow",-119.75,47.75,0.00083999999333173
2030,"aug","A1B","baseflow",-119.25,47.75,0.00014000000373926
2030,"aug","A1B","baseflow",-118.75,47.75,0.00185000000055879
2030,"aug","A1B","baseflow",-118.25,47.75,0.0271000005304813
2030,"aug","A1B","baseflow",-117.75,47.75,0.377939999103546
2030,"aug","A1B","baseflow",-117.25,47.75,0.414249986410141
2030,"aug","A1B","baseflow",-123.75,47.25,6.78357982635498
2030,"aug","A1B","baseflow",-123.25,47.25,1.59570002555847
2030,"aug","A1B","baseflow",-122.75,47.25,0.536700010299683
2030,"aug","A1B","baseflow",-122.25,47.25,0.729600012302399
2030,"aug","A1B","baseflow",-121.75,47.25,12.6529998779297
2030,"aug","A1B","baseflow",-121.25,47.25,38.9458999633789
2030,"aug","A1B","baseflow",-120.75,47.25,1.16189002990723
2030,"aug","A1B","baseflow",-120.25,47.25,0.332439988851547
2030,"aug","A1B","baseflow",-119.75,47.25,4.99999987368938e-05
2030,"aug","A1B","baseflow",-119.25,47.25,0
2030,"aug","A1B","baseflow",-118.75,47.25,2.99999992421363e-05
