Park Unit,Total Recreation Visits,Total Visitor Spending,Jobs,Labor Income,Value Added,Economic output,Spending per person
Castle Clinton NM,4812931,117641.8,1362,58748.8,89400.2,136657.2,0.02444286
Catoctin Mountain P,221750,13620.7,184,7189.6,11402.6,18277.3,0.061423675
Cedar Breaks NM,899676,57863.9,851,21398,38042.6,67219.9,0.064316376
Cesar E. Chavez NM,17216,1006.6,14,546.4,844.4,1396.6,0.058468866
Chaco Culture NHP,54083,2981.4,46,1194.4,1979,3600.5,0.05512638
Chamizal NMEM,147937,8649.6,142,3346.6,5819.3,10780.4,0.058468132
Channel Islands NP,364808,22436,315,12610.7,19409.8,31882.7,0.061500844
Charles Pinckney NHS,53184,3109.6,48,1373.9,2334.2,3913.1,0.058468712
Charles Young Buffalo Soldiers NM,10211,597.1,9,272.4,432.3,790,0.058476153
Chattahoochee River NRA,2736385,119071.9,1841,62588.4,97242.2,166687.3,0.043514308
Chesapeake & Ohio Canal NHP,4813079,91239.4,1351,50484.3,80369.6,130195.4,0.018956556
Chickamauga & Chattanooga NMP,1027738,66160.3,1016,26138.1,45515.5,81561.2,0.064374675
Chickasaw NRA,1676421,26493.9,278,7104.3,11386.1,20609.5,0.015803846
Chiricahua NM,51277,3029,40,1023.5,1774.3,3133.4,0.059071319
Christiansted NHS,115446,6750,83,3190.2,5283.4,8271.9,0.058468895
City Of Rocks NRES,107864,6306.7,98,2537.5,4081.9,7341.4,0.058468998
Colonial NHP,3352655,196024.9,3221,92633,152328.1,268386,0.058468557
Colorado NM,391076,24513.6,368,9634,17368.5,30315.9,0.062682445
Congaree NP,143843,7307.3,101,2816.1,4954.9,8529.8,0.050800526
Coronado NMEM,136076,7956.2,120,3196.5,5590.5,9612.1,0.058468797
Cowpens NB,213299,13734.2,216,6699,10808.1,18682.2,0.064389425
Crater Lake NP,756343,65300.7,1101,31401.2,49465.6,89386.8,0.086337416
Craters Of The Moon NM&PRES,255437,8922.4,139,3276.6,5346.6,10199.2,0.034929944
Cumberland Gap NHP,820387,52528.8,793,21878.4,37935.6,66126.5,0.064029293
Cumberland Island NS,61897,2591.6,39,1134.5,1852.2,3192.9,0.041869557
Curecanti NRA,982498,42453.7,565,17982.1,29647.9,49014.4,0.043209961
Cuyahoga Valley NP! ,2423391,69728.2,1085,31246.9,49152.7,87223.8,0.028772988
Dayton Aviation Heritage NHP,95334,5655.7,104,3195.5,4989,8850.2,0.05932511
De Soto NMEM,232463,13591.8,210,6967.7,11356.4,19063.5,0.05846866
Death Valley NP,1296283,108077.8,1505,53351.6,86468.1,141229.1,0.083375158
Delaware Water Gap NRA,3677744,126386.2,1887,76773.7,117985.1,186375.6,0.034365143
Denali NP&PRES,587412,604881.9,7744,286405.4,530137,864377.5,1.029740455
Devils Postpile NM,135404,8722.7,125,3611.1,6090.7,10460.9,0.06441981
Devils Tower NM,496210,31586.8,500,12589.5,20921.8,39646.1,0.063656113
Dinosaur NM,304312,18084.2,244,7250.2,11965.7,20457.6,0.05942651
Dry Tortugas NP,73661,4410,54,1837.7,2996,4869.2,0.059868859
Edgar Allan Poe NHS,14828,867,13,508.7,790.1,1286.4,0.058470461
Effigy Mounds NM,77196,4906.7,82,1915.6,3248.5,5982.9,0.063561584
Eisenhower NHS,55551,3248,46,1760.8,2749.7,4413.9,0.058468794
El Malpais NM,157439,9205.2,155,3919,6443.1,11815.3,0.058468359
El Morro NM,59423,3762.7,55,1071.6,2015.8,3851.8,0.0633206
Eleanor Roosevelt NHS,63480,3711.6,52,1969.6,3187.3,4957.3,0.058468809
Eugene O'Neill NHS,4287,250.7,3,144.9,215.5,347.1,0.058479123
Everglades NP,930907,91321.4,1330,52994.1,84126.2,136391.8,0.09809938
Federal Hall NMEM,314531,18390.2,235,10869.1,16817.5,25429.3,0.058468641
Fire Island NS,431303,18627.7,217,10097.6,15630.3,23536.9,0.043189359
First Ladies NHS,13378,782.3,13,413.8,643.7,1127,0.058476603
Flight 93 NMEM,385123,22517.6,371,11218.7,17587.9,30731.8,0.058468593
Florissant Fossil Beds NM,73564,4301.2,65,2354.1,3779.4,6255.3,0.058468816
Ford's Theatre NHS,650779,12351.6,176,6963.8,10997.4,17504.1,0.018979715
Fort Bowie NHS,8013,468.5,8,185.2,323.8,558.7,0.05846749
Fort Caroline NMEM,232083,13569.6,217,6549.3,10874.8,18709.9,0.058468737
Fort Davis NHS,61823,3614.7,55,1164.9,2091.5,3838.4,0.058468531
Fort Donelson NB,259343,16703.2,244,7781.9,12844.6,21613.6,0.064405825
Fort Frederica NM,192906,11279,182,5206.8,8558.6,14825.6,0.058468892
Fort Laramie NHS,57445,3358.7,52,1309.2,2249.7,3948.7,0.0584681
Fort Larned NHS,31061,1882.3,27,618.6,1105.6,2082.4,0.060600109
Fort Matanzas NM,557811,32614.4,524,15231.5,25777.4,44304.2,0.058468549
Fort McHenry NM&SHRINE,610987,35723.5,508,19331.7,30820.3,49054.2,0.058468511
Fort Necessity NB,290021,18680.5,296,9424.4,14960.7,25999.8,0.064410853
Fort Point NHS,2264155,132381.9,1839,76487.6,113781.2,183285.7,0.058468568
Fort Pulaski NM,344921,22219.5,320,9452.1,15992,27123.9,0.064419099
Fort Raleigh NHS,292368,17094.3,277,7482.6,12215.1,21716.4,0.058468437
Fort Scott NHS,29291,518.8,7,166.6,269.3,506.8,0.017711925
Fort Smith NHS,163636,9567.6,161,3910.3,6499.4,11923.7,0.058468797
Fort Stanwix NM,94006,5179.2,68,1986,3927,6350.6,0.055094356
Fort Sumter NM,888331,51939.5,786,22949.3,39028,65506.6,0.058468634
Fort Union NM,11953,805.9,11,341.7,523.1,910.7,0.067422404
Fort Union Trading Post NHS,17502,1393.2,16,497.2,736.1,1277.2,0.079602331
Fort Vancouver NHS,1092031,63849.5,1069,34410.7,52916.4,92285.1,0.058468578
Fort Washington P,560358,32763.4,454,17880.2,27984.5,44382.3,0.058468693
Fossil Butte NM,20736,1030.7,13,393.5,634.3,1110.4,0.049705826
Franklin Delano Roosevelt MEM,4360503,82761.1,1181,46660.6,73687.4,117285.4,0.018979714
Frederick Douglass NHS,67387,1279,17,721.1,1138.3,1809.6,0.018979922
Frederick Law Olmsted NHS,8936,522.5,7,292.8,461.4,742.3,0.058471352
