"Year","Epoch","Season","Scenario","Value"
2025,"Future","Spring","RCP2.6",1.626
2025,"Future","Spring","RCP4.5",0.792
2025,"Future","Spring","RCP6",1.048
2025,"Future","Spring","RCP8.5",1.46
2025,"Future","Summer","RCP2.6",1.592
2025,"Future","Summer","RCP4.5",1.268
2025,"Future","Summer","RCP6",2.136
2025,"Future","Summer","RCP8.5",1.898
2025,"Future","Winter","RCP2.6",1.286
2025,"Future","Winter","RCP4.5",1.65
2025,"Future","Winter","RCP6",1.694
2025,"Future","Winter","RCP8.5",1.538
2030,"Future","Annual","RCP2.6",1.93
2030,"Future","Annual","RCP4.5",1.5
2030,"Future","Annual","RCP6",1.312
2030,"Future","Annual","RCP8.5",1.72
2030,"Future","Autumn","RCP2.6",1.474
2030,"Future","Autumn","RCP4.5",1.532
2030,"Future","Autumn","RCP6",1.696
2030,"Future","Autumn","RCP8.5",1.032
2030,"Future","Spring","RCP2.6",1.646
2030,"Future","Spring","RCP4.5",1.578
2030,"Future","Spring","RCP6",0.694
2030,"Future","Spring","RCP8.5",2.14
2030,"Future","Summer","RCP2.6",1.76
2030,"Future","Summer","RCP4.5",0.536
2030,"Future","Summer","RCP6",1.336
2030,"Future","Summer","RCP8.5",1.454
2030,"Future","Winter","RCP2.6",2.596
2030,"Future","Winter","RCP4.5",2.452
2030,"Future","Winter","RCP6",1.932
2030,"Future","Winter","RCP8.5",2.274
2035,"Future","Annual","RCP2.6",1.964
2035,"Future","Annual","RCP4.5",1.502
2035,"Future","Annual","RCP6",1.324
2035,"Future","Annual","RCP8.5",1.104
2035,"Future","Autumn","RCP2.6",1.252
2035,"Future","Autumn","RCP4.5",1.716
2035,"Future","Autumn","RCP6",1.338
2035,"Future","Autumn","RCP8.5",1.384
2035,"Future","Spring","RCP2.6",2.482
2035,"Future","Spring","RCP4.5",1.186
2035,"Future","Spring","RCP6",0.922
2035,"Future","Spring","RCP8.5",0.46
2035,"Future","Summer","RCP2.6",1.902
2035,"Future","Summer","RCP4.5",1.134
2035,"Future","Summer","RCP6",1.534
2035,"Future","Summer","RCP8.5",1.44
2035,"Future","Winter","RCP2.6",2.416
2035,"Future","Winter","RCP4.5",1.742
2035,"Future","Winter","RCP6",1.238
2035,"Future","Winter","RCP8.5",1.164
2040,"Future","Annual","RCP2.6",1.382
2040,"Future","Annual","RCP4.5",1.466
2040,"Future","Annual","RCP6",0.952
2040,"Future","Annual","RCP8.5",1.67
2040,"Future","Autumn","RCP2.6",1.414
2040,"Future","Autumn","RCP4.5",1.436
2040,"Future","Autumn","RCP6",1.424
2040,"Future","Autumn","RCP8.5",0.988
